CustomerID,Recency,Frequency,Monetary,RecencyQuartile,FrequencyQuartile,MonetaryQuartile,RFMScore,RFScore,CustomerClass
16250,373,1,47.27,1,1,2,112,11,Lost
15555,33,5,424.47,3,4,4,344,34,Loyal
15574,177,3,169.07,1,3,3,133,13,At Risk
15271,36,6,267.2,3,4,4,344,34,Loyal
17714,320,1,20.5,1,1,1,111,11,Lost
12637,91,4,440.47,2,4,4,244,24,Loyal
13107,85,3,99.53,2,3,3,233,23,Need Attention
13027,113,4,7.6,2,4,1,241,24,Loyal
12957,9,5,403.71,4,4,4,444,44,Champion
17128,334,1,55.79,1,1,2,112,11,Lost
14439,319,1,207.39,1,1,4,114,11,Lost
14810,40,9,498.0,3,4,4,344,34,Loyal
17491,36,5,135.49,3,4,3,343,34,Loyal
17917,362,1,67.6,1,1,2,112,11,Lost
18106,329,1,153.5,1,1,3,113,11,Lost
17855,372,1,30.02,1,1,1,111,11,Lost
14443,53,3,198.89,3,3,4,334,33,Potential Loyalist
12386,337,2,23.91,1,2,1,121,12,Hibernating
15107,332,1,8.5,1,1,1,111,11,Lost
18161,64,3,168.06,3,3,3,333,33,Potential Loyalist
17211,26,4,370.12,3,4,4,344,34,Loyal
14896,204,2,103.11,1,2,3,123,12,Hibernating
14618,10,2,33.75,4,2,1,421,42,Potential Loyalist
12643,128,5,29.86,2,4,1,241,24,Loyal
14114,273,2,94.69,1,2,3,123,12,Hibernating
18223,4,7,390.96,4,4,4,444,44,Champion
17744,3,4,86.82,4,4,2,442,44,Champion
14701,10,8,938.5,4,4,4,444,44,Champion
15100,333,3,32.85,1,3,1,131,13,At Risk
13520,58,5,156.46,3,4,3,343,34,Loyal
16255,16,5,516.12,4,4,4,444,44,Champion
16085,236,2,123.95,1,2,3,123,12,Hibernating
13126,4,6,246.48,4,4,4,444,44,Champion
12944,35,2,95.66,3,2,3,323,32,Potential Loyalist
12838,33,2,285.33,3,2,4,324,32,Potential Loyalist
15899,368,1,16.5,1,1,1,111,11,Lost
16705,0,12,666.71,4,4,4,444,44,Champion
16735,78,5,315.93,2,4,4,244,24,Loyal
17884,3,3,126.03,4,3,3,433,43,Potential Loyalist
16503,106,2,182.24,2,2,3,223,22,About To Sleep
16401,14,10,236.98,4,4,4,444,44,Champion
14217,1,11,353.4,4,4,4,444,44,Champion
18113,368,1,1.06,1,1,1,111,11,Lost
16081,366,1,77.65,1,1,2,112,11,Lost
13999,28,7,266.46,3,4,4,344,34,Loyal
15235,217,5,245.7,1,4,4,144,14,Cannot Lose Them
13144,332,1,18.65,1,1,1,111,11,Lost
17769,12,8,872.69,4,4,4,444,44,Champion
12472,51,4,379.37,3,4,4,344,34,Loyal
12808,36,3,85.29,3,3,2,332,33,Potential Loyalist
12429,172,3,238.92,2,3,4,234,23,Need Attention
14210,105,3,192.17,2,3,3,233,23,Need Attention
16779,14,13,486.27,4,4,4,444,44,Champion
17790,26,11,347.6,3,4,4,344,34,Loyal
15544,119,5,218.22,2,4,4,244,24,Loyal
12967,371,1,108.05,1,1,3,113,11,Lost
14419,10,6,515.86,4,4,4,444,44,Champion
13178,35,6,246.17,3,4,4,344,34,Loyal
14090,324,1,1.06,1,1,1,111,11,Lost
15012,53,2,334.53,3,2,4,324,32,Potential Loyalist
15353,254,2,208.71,1,2,4,124,12,Hibernating
18178,128,3,201.38,2,3,4,234,23,Need Attention
14159,19,9,1580.85,4,4,4,444,44,Champion
16003,29,5,516.9,3,4,4,344,34,Loyal
17961,70,10,353.14,2,4,4,244,24,Loyal
13782,12,5,356.7,4,4,4,444,44,Champion
17311,316,1,84.93,1,1,2,112,11,Lost
